trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.97770604484191,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-253.45015365225458,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-111.47917198667791,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-72.992376800313,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-21.146312150053248,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-192.06023417622845,"{0: 17, 1: 2, 2: 6, 3: 3, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-75.49375783231979,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-53.09795589061259,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-112.45065648291904,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-94.44906944508372,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-92.59968083510834,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-116.33080268027716,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,5,-26.16165981859941,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,11,0.33279601048224183,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-108.0308477325909,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,16,16.59199756924572,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-53.654103106129384,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-29.305594648552088,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,6.733420571757595,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,18,11.363484402135363,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-8.242371683535307,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,9,19.278646800506372,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-57.438127905196794,"{0: 26, 1: 1, 2: 0, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-9.404517820621217,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,16,-36.8574004304156,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-13.85886310985199,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,11,-24.886411903813162,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-63.510337385004966,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,1,-66.98775287737486,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",20,0,-93.95726369467484,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
