trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 1.0}",25,0,-58.23480638240842,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
2,False,"{'a': 0.002, 'e': 0.9980019986673331}",20,0,-95.82135925686636,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-142.27689687563696,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9940179640539353}",25,0,-72.3353819164056,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.002, 'e': 0.9920319148370607}",25,0,-129.6797397916482,"{0: 10, 1: 4, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.002, 'e': 0.9900498337491681}",20,0,-161.3745690960118,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9880717128619305}",20,0,-202.94317355165748,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
8,False,"{'a': 0.002, 'e': 0.9860975442628619}",30,0,-186.0233251157223,"{0: 18, 1: 5, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.002, 'e': 0.9841273200552851}",20,0,-92.18396387069717,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.002, 'e': 0.9821610323583008}",20,0,-118.9789689359605,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-99.56611635387557,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.002, 'e': 0.97824023505121}",25,0,-97.11997611033998,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-122.45737355934907,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9743350896087494}",30,0,-138.30451905827513,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.002, 'e': 0.9723883668012469}",25,0,-71.72457380749142,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9704455335485082}",25,0,-155.56778076375292,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-104.58477148034594,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9665715046375066}",20,0,-35.18249999722416,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9646402934831231}",20,0,-80.68729795258571,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.002, 'e': 0.9627129408911995}",20,12,-67.71698203207166,"{0: 4, 1: 1, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-20.6312546504983,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
22,False,"{'a': 0.002, 'e': 0.9588697805724845}",25,7,-123.47423001473679,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 2}",1
23,False,"{'a': 0.002, 'e': 0.9569539574730467}",30,0,-160.75481127058774,"{0: 14, 1: 10, 2: 3, 3: 1, 4: 2}",0
24,False,"{'a': 0.002, 'e': 0.9550419621907147}",30,0,-80.95553641730808,"{0: 17, 1: 7, 2: 5, 3: 1, 4: 0}",0
25,False,"{'a': 0.002, 'e': 0.9531337870775047}",20,0,-131.43577133443063,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
26,False,"{'a': 0.002, 'e': 0.951229424500714}",30,0,-339.15057536948706,"{0: 9, 1: 8, 2: 5, 3: 3, 4: 5}",0
27,False,"{'a': 0.002, 'e': 0.9493288668428895}",30,0,-182.36580399817296,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
28,False,"{'a': 0.002, 'e': 0.9474321065017983}",25,0,-124.42933585942848,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
29,False,"{'a': 0.002, 'e': 0.9455391358903963}",20,0,-59.808649085662026,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.002, 'e': 0.9436499474367985}",25,0,-152.7791075806133,"{0: 16, 1: 1, 2: 2, 3: 5, 4: 1}",0
31,False,"{'a': 0.002, 'e': 0.9417645335842487}",20,0,-133.44235407034878,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
32,False,"{'a': 0.002, 'e': 0.9398828867910889}",25,0,-119.32583674246035,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
33,False,"{'a': 0.002, 'e': 0.9380049995307295}",20,0,-92.48384988642033,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.002, 'e': 0.9361308642916188}",20,0,-157.47515315016372,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
35,False,"{'a': 0.002, 'e': 0.9342604735772135}",25,0,-99.17964800357558,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
36,False,"{'a': 0.002, 'e': 0.9323938199059483}",20,0,-95.85520649087692,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.002, 'e': 0.9305308958112057}",30,0,-253.4271094469387,"{0: 14, 1: 2, 2: 10, 3: 0, 4: 4}",0
38,False,"{'a': 0.002, 'e': 0.9286716938412872}",20,0,-106.7235339320193,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
39,False,"{'a': 0.002, 'e': 0.9268162065593822}",25,0,-135.8696622477739,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.002, 'e': 0.9249644265435393}",20,0,-120.87134555388545,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.002, 'e': 0.9231163463866358}",20,0,-142.33478432012265,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",35,0,-90.3721803320702,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",25,0,-136.83250209841006,"{0: 11, 1: 8, 2: 3, 3: 2, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,0,-187.30989137554266,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-105.89036974005477,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",20,0,-78.92503112510224,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",30,0,-191.47350717772596,"{0: 14, 1: 4, 2: 9, 3: 1, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-92.40813248141818,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,10,-53.660192293186675,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",25,0,-81.10333531533283,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-143.86132081485988,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-56.376121299879856,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-71.85442885265398,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",30,0,-52.39766954587163,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-139.134927474517,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,0,-143.90867178520335,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-92.83628192998304,"{0: 8, 1: 5, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",25,0,-160.32621738056548,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",25,11,-81.5714704505732,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,0,-96.91003795580923,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",20,3,-40.75577071027715,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",20,0,-102.15615059445226,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",20,0,-145.77993387351975,"{0: 8, 1: 5, 2: 3, 3: 3, 4: 1}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",25,0,-77.35246291523517,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",30,0,-169.47700014179173,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",20,0,-162.97417426833968,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",30,0,-39.1118486512004,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,4,-87.39609307452086,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 1}",1
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,5,-104.36768018930496,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",1
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",20,0,-129.20148110209504,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",30,0,-192.06277561344032,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
72,False,"{'a': 0.002, 'e': 0.867621256485914}",30,0,-122.5148122275987,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-46.15626855198292,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-129.01847169385618,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",30,0,-230.4413580524217,"{0: 14, 1: 6, 2: 4, 3: 3, 4: 3}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-87.01567981912076,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,5,-185.180430156022,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",1
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-63.14066957301147,"{0: 14, 1: 4, 2: 0, 3: 1, 4: 1}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,0,-85.3894746133142,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",20,0,-67.55648539466982,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",20,9,-12.245452951853508,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",25,0,-79.4044516412269,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
