trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.23659369083367,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.14039966200406,"{0: 15, 1: 0, 2: 13, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,8,-13.06229129740545,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.24731762427038,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,13,-45.3494060270622,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.21184462190433,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.68359889818151,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.88845930251335,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 5}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-151.48666028703497,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.1218067099954,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-203.20112013740368,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.38193947223687,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.45689631911412,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.65832817642941,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.59953944317752,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.0936382445514,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.93353571454725,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.08218024987812,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-246.86556028754904,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.362985118507,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.06160590946607,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,2,-220.05080425197696,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 4}",1
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.92178798723046,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,7,-62.537778145008346,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-172.6740660592024,"{0: 18, 1: 1, 2: 7, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-121.54469403198773,"{0: 13, 1: 7, 2: 2, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-167.3680496953265,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.11794830248925,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.98908258647185,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,1,-206.99017190262686,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 3}",1
